x,y
0.0,58
0.03344482,67
0.06688963,54
0.10033445,53
0.13377926,72
0.16722408,59
0.2006689,74
0.23411371,66
0.26755853,73
0.30100334,60
0.33444816,45
0.36789298,45
0.40133779,43
0.43478261,43
0.46822742,41
0.50167224,39
0.53511706,43
0.56856187,36
0.60200669,39
0.63545151,32
0.66889632,32
0.70234114,27
0.73578595,40
0.76923077,26
0.80267559,26
0.8361204,32
0.86956522,36
0.90301003,31
0.93645485,29
0.96989967,33
1.00334448,27
1.0367893,29
1.07023411,28
1.10367893,26
1.13712375,28
1.17056856,33
1.20401338,33
1.23745819,32
1.27090301,32
1.30434783,26
1.33779264,44
1.37123746,36
1.40468227,38
1.43812709,32
1.47157191,30
1.50501672,37
1.53846154,30
1.57190635,37
1.60535117,37
1.63879599,37
1.6722408,28
1.70568562,33
1.73913043,31
1.77257525,26
1.80602007,24
1.83946488,28
1.8729097,23
1.90635452,25
1.93979933,23
1.97324415,31
2.00668896,25
2.04013378,22
2.0735786,22
2.10702341,17
2.14046823,20
2.17391304,24
2.20735786,19
2.24080268,27
2.27424749,20
2.30769231,17
2.34113712,16
2.37458194,11
2.40802676,14
2.44147157,19
2.47491639,19
2.5083612,12
2.54180602,12
2.57525084,12
2.60869565,9
2.64214047,19
2.67558528,16
2.7090301,14
2.74247492,15
2.77591973,12
2.80936455,10
2.84280936,15
2.87625418,13
2.909699,21
2.94314381,9
2.97658863,22
3.01003344,19
3.04347826,17
3.07692308,11
3.11036789,15
3.14381271,12
3.17725753,12
3.21070234,10
3.24414716,16
3.27759197,14
3.31103679,17
3.34448161,16
3.37792642,21
3.41137124,23
3.44481605,14
3.47826087,17
3.51170569,16
3.5451505,16
3.57859532,15
3.61204013,14
3.64548495,12
3.67892977,19
3.71237458,18
3.7458194,17
3.77926421,20
3.81270903,22
3.84615385,13
3.87959866,19
3.91304348,15
3.94648829,13
3.97993311,23
4.01337793,21
4.04682274,12
4.08026756,5
4.11371237,24
4.14715719,16
4.18060201,19
4.21404682,16
4.24749164,22
4.28093645,17
4.31438127,13
4.34782609,22
4.3812709,15
4.41471572,14
4.44816054,21
4.48160535,26
4.51505017,18
4.54849498,24
4.5819398,19
4.61538462,21
4.64882943,24
4.68227425,18
4.71571906,20
4.74916388,12
4.7826087,17
4.81605351,14
4.84949833,26
4.88294314,18
4.91638796,11
4.94983278,25
4.98327759,24
5.01672241,29
5.05016722,22
5.08361204,15
5.11705686,15
5.15050167,24
5.18394649,14
5.2173913,18
5.25083612,15
5.28428094,18
5.31772575,16
5.35117057,19
5.38461538,17
5.4180602,19
5.45150502,23
5.48494983,10
5.51839465,11
5.55183946,19
5.58528428,15
5.6187291,12
5.65217391,18
5.68561873,16
5.71906355,20
5.75250836,20
5.78595318,20
5.81939799,12
5.85284281,17
5.88628763,21
5.91973244,28
5.95317726,7
5.98662207,15
6.02006689,13
6.05351171,15
6.08695652,14
6.12040134,10
6.15384615,8
6.18729097,6
6.22073579,8
6.2541806,9
6.28762542,10
6.32107023,11
6.35451505,12
6.38795987,11
6.42140468,6
6.4548495,13
6.48829431,14
6.52173913,12
6.55518395,12
6.58862876,7
6.62207358,15
6.65551839,9
6.68896321,12
6.72240803,8
6.75585284,10
6.78929766,13
6.82274247,2
6.85618729,8
6.88963211,12
6.92307692,6
6.95652174,10
6.98996656,9
7.02341137,13
7.05685619,10
7.090301,3
7.12374582,12
7.15719064,11
7.19063545,14
7.22408027,8
7.25752508,10
7.2909699,6
7.32441472,4
7.35785953,9
7.39130435,6
7.42474916,4
7.45819398,5
7.4916388,6
7.52508361,6
7.55852843,11
7.59197324,7
7.62541806,4
7.65886288,13
7.69230769,9
7.72575251,6
7.75919732,7
7.79264214,5
7.82608696,6
7.85953177,6
7.89297659,6
7.9264214,6
7.95986622,4
7.99331104,10
8.02675585,3
8.06020067,7
8.09364548,7
8.1270903,2
8.16053512,6
8.19397993,6
8.22742475,4
8.26086957,3
8.29431438,5
8.3277592,7
8.36120401,5
8.39464883,4
8.42809365,7
8.46153846,4
8.49498328,5
8.52842809,4
8.56187291,5
8.59531773,3
8.62876254,3
8.66220736,5
8.69565217,4
8.72909699,3
8.76254181,3
8.79598662,3
8.82943144,1
8.86287625,4
8.89632107,4
8.92976589,2
8.9632107,4
8.99665552,4
9.03010033,4
9.06354515,4
9.09698997,5
9.13043478,2
9.1638796,3
9.19732441,4
9.23076923,3
9.26421405,5
9.29765886,3
9.33110368,4
9.36454849,2
9.39799331,5
9.43143813,4
9.46488294,4
9.49832776,3
9.53177258,2
9.56521739,3
9.59866221,2
9.63210702,3
9.66555184,4
9.69899666,2
9.73244147,3
9.76588629,4
9.7993311,2
9.83277592,2
9.86622074,1
9.89966555,3
9.93311037,1
9.96655518,6
10.0,3
